trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-109.28564722617277,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-64.24825111148927,"{0: 28, 1: 4, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-45.30806081806702,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-127.58918080158858,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-115.00301136503839,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,13,-53.305558847952994,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-92.935673984488,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,1,-7.400280614593473,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-121.48851899274888,"{0: 9, 1: 3, 2: 4, 3: 4, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-84.14266172178571,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-97.70113667872272,"{0: 24, 1: 1, 2: 1, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-5.741184485680221,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-13.58137287609531,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,8,25.20339977263093,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,8,11.75505510937895,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,15,20.768609517489303,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,10.745918185505738,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,33.960098651684774,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,11,25.49036055239258,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,9,27.279676239386344,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,15,14.576892879027223,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,11,24.70563217113932,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,6,5.0116459926304255,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,10,36.06530302657306,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,5,3.227140968144905,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,3,-12.722703576532659,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,9,-22.06852769730877,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,7,-12.963999942976308,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,13,28.678745303419742,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-6.735148286672382,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
