trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,12,-7.944685717905195,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9999994516861301}",20,0,-100.74034146609141,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999978067451217}",25,10,-18.395477770983565,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9999950651787788}",20,0,-136.23563732846202,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999912269901077}",20,0,-46.40032798745784,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9999862921833175}",30,0,-76.73639172461992,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.99998026076382}",20,0,-89.27519823786761,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9999731327382292}",25,12,-45.704682805440285,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.999964908114362}",20,0,-120.77497514830554,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9999555869012378}",20,11,-47.79032088378621,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9999451691090784}",20,0,-150.12470945571525,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9999336547493084}",25,0,-181.1235933576216,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9999210438345546}",25,0,-206.855048680393,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.9999073363786465}",30,0,-308.76195272497955,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.9998925323966161}",25,0,-71.04182032219937,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9998766319046979}",20,0,-132.8952866864341,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9998596349203288}",20,0,-79.44378241727891,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9998415414621482}",30,0,-98.47886774020988,"{0: 16, 1: 5, 2: 9, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9998223515499978}",20,0,-132.2582789354879,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9998020652049219}",20,0,-165.12836232275694,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.999780682449167}",25,0,-206.50975532972677,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9997582033061819}",25,0,-151.19824158059765,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9997346278006181}",25,0,-134.52329822146694,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9997099559583289}",20,0,-60.472935544402674,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9996841878063704}",20,0,-81.99539643968315,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9996573233730004}",35,0,-188.58236516465652,"{0: 18, 1: 4, 2: 11, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9996293626876794}",20,0,-37.66366078418939,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9996003057810697}",20,0,-105.80876279545564,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.999570152685036}",20,0,-62.9140620393581,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9995389034326451}",20,0,-52.08206792477413,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9995065580581657}",20,0,-214.14596930065323,"{0: 6, 1: 2, 2: 9, 3: 0, 4: 3}",0
