trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999987662939337}",25,0,-73.20571910086981,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999950651787788}",25,0,-106.42752747793554,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999888966636674}",20,0,-83.44737986453886,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.99998026076382}",20,0,-46.67858515187654,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999691575005446}",25,0,-100.53197213090631,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999555869012378}",25,0,-119.97771253473742,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999395489993838}",20,0,-83.58254739119279,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9999210438345546}",25,0,-64.50224095507582,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9999000714524101}",20,0,-32.22911996286214,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9998766319046979}",30,0,-68.19588489385536,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.999850725249253}",25,0,-133.9029043622232,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9998223515499978}",20,0,-167.87996840510365,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9997915108769418}",25,0,-111.06467981963158,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9997582033061819}",20,11,2.3300670784430455,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9997224289199013}",20,0,-98.70099979109146,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9996841878063704}",20,4,17.07613999257129,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9996434800599455}",25,0,-92.67557170876653,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9996003057810697}",20,0,-31.36331485562891,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9995546650762717}",20,0,-141.56548655083202,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9995065580581657}",25,0,-66.84004232695625,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9994559848454516}",20,0,-149.2887132771997,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9994029455629146}",20,0,-93.25387584234316,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9993474403414242}",30,0,-183.3156173159626,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9992894693179348}",20,0,-48.404988346061,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9992290326354848}",25,14,-14.095778325857044,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.9991661304431964}",20,0,-103.96766983312382,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9991007628962751}",25,0,-75.61271499654218,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
