trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.8424087401477,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.73042008086748,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.03420216291332,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.52683538893157,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-225.41342480419453,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.39513066269977,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.80317970369215,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.94800168058046,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.58392186327033,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.92474432959091,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,8,-124.43688607080428,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.19823680348335,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.05930272648428,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-109.18551192960169,"{0: 21, 1: 4, 2: 9, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-217.3991725334161,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.2187938409841,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.1451620532515,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.61197754988609,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.07799223288445,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.455781263466086,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-46.562020373662975,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.58134248879712,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-203.0703624204572,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.993216942969134,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-223.89928816441864,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-180.83142756708696,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.7351551289943,"{0: 13, 1: 0, 2: 9, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.94810077426418,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,6,-61.26284218005649,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.87504492513918,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
